工况,工况代码,曲线,原始CSV,处理后CSV,选用响应列,节点,单元,有效响应列数,重复响应列,重复列核验,保留工况步,排除工况步,换算/归一化
原轴力,origin,层剪力—层间位移角,data/raw/origin/story_shear_force_origin.csv,data/processed/origin/cyclic_response.csv,NX node 524 element 156,524,156,1,,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,剪力 N → kN；层间位移角 = load factor × 0.025 rad
原轴力,origin,梁纵筋应变,data/raw/origin/Beam_rebar_strain_origin.csv,data/processed/origin/cyclic_response.csv,EXX node 1628 element 672,1628,672,2,EXX node 1628 element 673,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
原轴力,origin,柱纵筋应变,data/raw/origin/Column_rebar_strain_origin.csv,data/processed/origin/cyclic_response.csv,EZZ node 1985 element 1018,1985,1018,2,EZZ node 1985 element 1019,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
原轴力,origin,节点箍筋应变,data/raw/origin/Joint_stirrup_strain_origin.csv,data/processed/origin/joint_stirrup_response.csv,EXX node 2375 element 1359,2375,1359,2,EXX node 2375 element 1360,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,EXX / 0.002
50%减轴力,50pct_axial_force,层剪力—层间位移角,data/raw/50pct_axial_force/story_shear_force_50%axialforce.csv,data/processed/50pct_axial_force/cyclic_response.csv,NX node 524 element 402,524,402,1,,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,剪力 N → kN；层间位移角 = load factor × 0.025 rad
50%减轴力,50pct_axial_force,梁纵筋应变,data/raw/50pct_axial_force/Beam_rebar_strain_50%axialforce.csv,data/processed/50pct_axial_force/cyclic_response.csv,EXX node 1628 element 672,1628,672,2,EXX node 1628 element 673,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
50%减轴力,50pct_axial_force,柱纵筋应变,data/raw/50pct_axial_force/Column_rebar_strain_50%axialforce.csv,data/processed/50pct_axial_force/cyclic_response.csv,EZZ node 1985 element 1018,1985,1018,2,EZZ node 1985 element 1019,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,应变 / 0.002
50%减轴力,50pct_axial_force,节点箍筋应变,data/raw/50pct_axial_force/Joint_stirrup_strain_50%axialforce.csv,data/processed/50pct_axial_force/joint_stirrup_response.csv,EXX node 2375 element 1359,2375,1359,2,EXX node 2375 element 1360,所有Load-step逐行完全一致,11–850,1–10（轴力加载）,EXX / 0.002
